suffix,status
AOF,Available
AOG,Available
AOH,Available
AOI,Available
AOJ,Available
AOK,Available
AOL,Available
AOM,Available
AON,Available
AOO,Available
AOP,Available
AOQ,Available
AOR,Allocated
AOS,Available
AOT,Available
AOU,Available
AOV,Available
AOW,Available
AOX,Available
AOY,Available
AOZ,Available
APA,Available
APB,Available
APC,Available
APD,Available
APE,Available
APF,Available
APG,Available
APH,Available
API,Available
APJ,Available
APK,Available
APL,Available
APM,Available
APN,Available
APO,Available
APP,Available
APQ,Available
APR,Available
APS,Allocated
APT,Available
APU,Available
APV,Available
APW,Available
APX,Available
APY,Available
APZ,Available
AQA,Available
AQB,Available
AQC,Available
AQD,Available
AQE,Available
AQF,Available
AQG,Available
AQH,Available
AQI,Available
AQJ,Available
AQK,Available
AQL,Available
AQM,Available
AQN,Available
AQO,Available
AQP,Available
AQQ,Available
AQR,Available
AQS,Available
AQT,Available
AQU,Available
AQV,Available
AQW,Available
AQX,Available
AQY,Available
AQZ,Available
ARA,Available
ARB,Available
ARC,Allocated
ARD,Available
ARE,Available
ARF,Available
ARG,Available
ARH,Available
ARI,Available
ARJ,Available
ARK,Allocated
ARL,Available
ARM,Allocated
ARN,Available
ARO,Available
ARP,Available
ARQ,Available
ARR,Available
ARS,Available
ART,Available
ARU,Available
ARV,Available
ARW,Available
ARX,Available
ARY,Available
ARZ,Available
ASA,Available
ASB,Available
ASC,Available
ASD,Available
ASE,Available
ASF,Available
ASG,Available
ASH,Available
ASI,Available
ASJ,Available
ASK,Available
ASL,Available
ASM,Available
ASN,Available
ASO,Available
ASP,Available
ASQ,Available
ASR,Available
ASS,Not Allowed
AST,Available
ASU,Available
ASV,Available
ASW,Available
ASX,Available
ASY,Available
ASZ,Available
ATA,Available
ATB,Available
ATC,Allocated
ATD,Available
ATE,Allocated
ATF,Available
ATG,Available
ATH,Available
ATI,Available
ATJ,Available
ATK,Available
ATL,Available
ATM,Available
ATN,Available
ATO,Available
ATP,Available
ATQ,Available
ATR,Available
ATS,Allocated
ATT,Allocated
ATU,Available
ATV,Available
ATW,Available
ATX,Available
ATY,Available
ATZ,Available
AUA,Available
AUB,Available
AUC,Available
AUD,Available
AUE,Available
AUF,Available
AUG,Available
AUH,Available
AUI,Available
AUJ,Available
AUK,Available
AUL,Available
AUM,Available
AUN,Available
AUO,Available
AUP,Available
AUQ,Available
AUR,Available
AUS,Available
AUT,Not Allowed
AUU,Available
AUV,Allocated
AUW,Available
AUX,Available
AUY,Available
AUZ,Available
AVA,Available
AVB,Available
AVC,Available
AVD,Available
AVE,Available
AVF,Available
AVG,Available
AVH,Available
AVI,Available
AVJ,Available
AVK,Available
AVL,Available
AVM,Available
AVN,Available
AVO,Available
AVP,Available
AVQ,Available
AVR,Available
AVS,Available
AVT,Available
AVU,Available
AVV,Available
AVW,Available
AVX,Available
AVY,Available
AVZ,Available
AWA,Available
AWB,Available
AWC,Available
AWD,Available
AWE,Available
AWF,Available
AWG,Available
AWH,Available
AWI,Available
AWJ,Available
AWK,Available
AWL,Available
AWM,Available
AWN,Available
AWO,Available
AWP,Available
AWQ,Available
AWR,Available
AWS,Available
AWT,Allocated
AWU,Available
AWV,Available
AWW,Available
AWX,Available
AWY,Available
AWZ,Available
AXA,Available
AXB,Available
AXC,Available
AXD,Available
AXE,Available
AXF,Available
AXG,Available
AXH,Available
AXI,Available
AXJ,Available
AXK,Available
AXL,Available
AXM,Available
AXN,Available
AXO,Available
AXP,Available
AXQ,Available
AXR,Available
AXS,Available
AXT,Available
AXU,Available
AXV,Available
AXW,Available
AXX,Available
AXY,Available
AXZ,Available
AYA,Available
AYB,Available
AYC,Available
AYD,Available
AYE,Available
AYF,Available
AYG,Available
AYH,Available
AYI,Available
AYJ,Available
AYK,Available
AYL,Available
AYM,Available
AYN,Available
AYO,Available
AYP,Available
AYQ,Available
AYR,Available
AYS,Available
AYT,Available
AYU,Available
AYV,Available
AYW,Available
AYX,Available
AYY,Available
AYZ,Available
AZA,Allocated
AZB,Available
AZC,Available
AZD,Available
AZE,Available
AZF,Available
AZG,Available
AZH,Available
AZI,Available
AZJ,Available
AZK,Available
AZL,Available
AZM,Available
AZN,Available
AZO,Available
AZP,Available
AZQ,Available
AZR,Available
AZS,Available
AZT,Available
AZU,Available
AZV,Available
AZW,Available
AZX,Available
AZY,Available
AZZ,Available
BAA,Available
BAB,Available
BAC,Available
BAD,Available
BAE,Available
BAF,Available
BAG,Available
BAH,Available
BAI,Available
BAJ,Available
BAK,Available
BAL,Available
BAM,Available
BAN,Available
BAO,Available
BAP,Available
BAQ,Available
BAR,Available
BAS,Available
BAT,Available
BAU,Available
BAV,Available
BAW,Available
BAX,Available
BAY,Available
BAZ,Available
BBA,Available
BBB,Available
BBC,Available
BBD,Available
BBE,Allocated
BBF,Available
BBG,Available
BBH,Available
BBI,Available
BBJ,Available
BBK,Available
BBL,Available
BBM,Available
BBN,Available
BBO,Available
BBP,Available
BBQ,Available
BBR,Available
BBS,Available
BBT,Available
BBU,Available
BBV,Available
BBW,Available
BBX,Available
BBY,Available
BBZ,Available
BCA,Available
BCB,Available
BCC,Available
BCD,Available
BCE,Available
BCF,Available
BCG,Available
BCH,Available
BCI,Available
