suffix,status
AAA,Allocated
AAB,Reserved
AAC,Allocated
AAD,Allocated
AAE,Allocated
AAF,Allocated
AAG,Allocated
AAH,Reserved
AAI,Allocated
AAJ,Reserved
AAK,Allocated
AAL,Allocated
AAM,Allocated
AAN,Allocated
AAO,Allocated
AAP,Allocated
AAQ,Reserved
AAR,Allocated
AAS,Allocated
AAT,Allocated
AAU,Reserved
AAV,Allocated
AAW,Allocated
AAX,Allocated
AAY,Allocated
AAZ,Allocated
ABA,Allocated
ABB,Allocated
ABC,Reserved
ABD,Allocated
ABE,Allocated
ABF,Allocated
ABG,Allocated
ABH,Allocated
ABI,Allocated
ABJ,Allocated
ABK,Allocated
ABL,Reserved
ABM,Allocated
ABN,Allocated
ABO,Allocated
ABP,Allocated
ABQ,Allocated
ABR,Allocated
ABS,Allocated
ABT,Allocated
ABU,Allocated
ABV,Allocated
ABW,Allocated
ABX,Reserved
ABY,Allocated
ABZ,Allocated
ACA,Allocated
ACB,Allocated
ACC,Allocated
ACD,Allocated
ACE,Allocated
ACF,Allocated
ACG,Allocated
ACH,Allocated
ACI,Reserved
ACJ,Reserved
ACK,Allocated
ACL,Allocated
ACM,Allocated
ACN,Allocated
ACO,Reserved
ACP,Reserved
ACQ,Allocated
ACR,Allocated
ACS,Reserved
ACT,Allocated
ACU,Allocated
ACV,Allocated
ACW,Allocated
ACX,Reserved
ACY,Reserved
ACZ,Reserved
ADA,Reserved
ADB,Allocated
ADC,Allocated
ADD,Reserved
ADE,Reserved
ADF,Reserved
ADG,Allocated
ADH,Allocated
ADI,Allocated
ADJ,Allocated
ADK,Reserved
ADL,Reserved
ADM,Allocated
ADN,Allocated
ADO,Allocated
ADP,Allocated
ADQ,Reserved
ADR,Allocated
ADS,Not Allowed
ADT,Reserved
ADU,Reserved
ADV,Reserved
ADW,Allocated
ADX,Allocated
ADY,Allocated
ADZ,Reserved
AEA,Reserved
AEB,Reserved
AEC,Allocated
AED,Allocated
AEE,Reserved
AEF,Reserved
AEG,Allocated
AEH,Allocated
AEI,Allocated
AEJ,Allocated
AEK,Allocated
AEL,Allocated
AEM,Reserved
AEN,Allocated
AEO,Reserved
AEP,Allocated
AEQ,Allocated
AER,Reserved
AES,Reserved
AET,Allocated
AEU,Allocated
AEV,Allocated
AEW,Reserved
AEX,Allocated
AEY,Allocated
AEZ,Allocated
AFA,Allocated
AFB,Reserved
AFC,Allocated
AFD,Allocated
AFE,Allocated
AFF,Allocated
AFG,Reserved
AFH,Allocated
AFI,Reserved
AFJ,Allocated
AFK,Reserved
AFL,Allocated
AFM,Reserved
AFN,Reserved
AFO,Allocated
AFP,Reserved
AFQ,Allocated
AFR,Allocated
AFS,Allocated
AFT,Allocated
AFU,Reserved
AFV,Allocated
AFW,Allocated
AFX,Allocated
AFY,Allocated
AFZ,Allocated
AGA,Allocated
AGB,Reserved
AGC,Allocated
AGD,Reserved
AGE,Allocated
AGF,Reserved
AGG,Allocated
AGH,Reserved
AGI,Reserved
AGJ,Allocated
AGK,Allocated
AGL,Allocated
AGM,Reserved
AGN,Allocated
AGO,Allocated
AGP,Allocated
AGQ,Reserved
AGR,Allocated
AGS,Allocated
AGT,Allocated
AGU,Allocated
AGV,Allocated
AGW,Allocated
AGX,Allocated
AGY,Allocated
AGZ,Reserved
AHA,Reserved
AHB,Reserved
AHC,Allocated
AHD,Allocated
AHE,Reserved
AHF,Allocated
AHG,Reserved
AHH,Allocated
AHI,Allocated
AHJ,Allocated
AHK,Reserved
AHL,Reserved
AHM,Reserved
AHN,Allocated
AHO,Reserved
AHP,Allocated
AHQ,Reserved
AHR,Reserved
AHS,Allocated
AHT,Allocated
AHU,Reserved
AHV,Allocated
AHW,Reserved
AHX,Allocated
AHY,Allocated
AHZ,Allocated
AIA,Allocated
AIB,Allocated
AIC,Allocated
AID,Not Allowed
AIE,Allocated
AIF,Reserved
AIG,Reserved
AIH,Allocated
AII,Allocated
AIJ,Allocated
AIK,Allocated
AIL,Reserved
AIM,Reserved
AIN,Reserved
AIO,Allocated
AIP,Reserved
AIQ,Allocated
AIR,Allocated
AIS,Allocated
AIT,Allocated
AIU,Allocated
AIV,Reserved
AIW,Reserved
AIX,Reserved
AIY,Allocated
AIZ,Allocated
AJA,Reserved
AJB,Allocated
AJC,Allocated
AJD,Allocated
AJE,Reserved
AJF,Reserved
AJG,Reserved
AJH,Allocated
AJI,Allocated
AJJ,Allocated
AJK,Reserved
AJL,Allocated
AJM,Allocated
AJN,Allocated
AJO,Allocated
AJP,Reserved
AJQ,Allocated
AJR,Reserved
AJS,Reserved
AJT,Allocated
AJU,Reserved
AJV,Reserved
AJW,Allocated
AJX,Allocated
AJY,Allocated
AJZ,Allocated
AKA,Reserved
AKB,Allocated
AKC,Reserved
AKD,Allocated
AKE,Allocated
AKF,Allocated
AKG,Reserved
AKH,Allocated
AKI,Allocated
AKJ,Allocated
AKK,Allocated
AKL,Reserved
AKM,Allocated
AKN,Reserved
AKO,Allocated
AKP,Reserved
AKQ,Allocated
AKR,Allocated
AKS,Allocated
AKT,Allocated
AKU,Reserved
AKV,Reserved
AKW,Allocated
AKX,Allocated
AKY,Allocated
AKZ,Allocated
ALA,Allocated
ALB,Allocated
ALC,Allocated
ALD,Allocated
ALE,Allocated
ALF,Allocated
ALG,Allocated
ALH,Allocated
ALI,Reserved
ALJ,Allocated
ALK,Allocated
ALL,Reserved
ALM,Allocated
ALN,Allocated
ALO,Allocated
ALP,Reserved
ALQ,Allocated
ALR,Allocated
ALS,Allocated
ALT,Allocated
ALU,Reserved
ALV,Reserved
ALW,Allocated
ALX,Allocated
ALY,Allocated
ALZ,Allocated
AMA,Reserved
AMB,Allocated
AMC,Reserved
AMD,Reserved
AME,Allocated
AMF,Allocated
AMG,Reserved
AMH,Reserved
AMI,Allocated
